image,label,text_label,kfold
../datasets/original/sps acropora/spsacropora_002162.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_003763.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_000186.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_006182.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001637.jpg,6,lps acanthastrea,0
../datasets/original/lps euphyllia/lpseuphyllia_000247.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_001023.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_000383.jpg,3,zoa,0
../datasets/original/lps chalice/lpschalice_002346.jpg,5,lps chalice,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000231.jpg,6,lps acanthastrea,0
../datasets/original/lps chalice/lpschalice_001431.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_001956.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_002237.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_003572.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_000640.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_000094.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000542.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_004237.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_006324.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000967.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_001381.jpg,2,sps acropora,0
../datasets/original/other/other_001562.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001597.jpg,6,lps acanthastrea,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001231.jpg,6,lps acanthastrea,0
../datasets/original/zoa/zoa_002416.jpg,3,zoa,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000217.jpg,6,lps acanthastrea,0
../datasets/original/zoa/zoa_000904.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_005549.jpg,2,sps acropora,0
../datasets/original/other/other_003088.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_000951.jpg,0,sps montipora,0
../datasets/original/zoa/zoa_000477.jpg,3,zoa,0
../datasets/original/sps montipora/spsmontipora_002012.jpg,0,sps montipora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000722.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_006498.jpg,2,sps acropora,0
../datasets/original/other/other_002384.jpg,1,other,0
../datasets/original/zoa/zoa_001229.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_000181.jpg,2,sps acropora,0
../datasets/original/other/other_001124.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_000502.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_001138.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000626.jpg,0,sps montipora,0
../datasets/original/other/other_002647.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000360.jpg,6,lps acanthastrea,0
../datasets/original/lps euphyllia/lpseuphyllia_000973.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_005037.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_001583.jpg,2,sps acropora,0
../datasets/original/other/other_002578.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_000123.jpg,5,lps chalice,0
../datasets/original/other/other_000433.jpg,1,other,0
../datasets/original/lps euphyllia/lpseuphyllia_000206.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_001965.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000086.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_000291.jpg,2,sps acropora,0
../datasets/original/other/other_002278.jpg,1,other,0
../datasets/original/lps euphyllia/lpseuphyllia_000200.jpg,4,lps euphyllia,0
../datasets/original/lps chalice/lpschalice_001351.jpg,5,lps chalice,0
../datasets/original/other/other_000423.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_000651.jpg,5,lps chalice,0
../datasets/original/lps chalice/lpschalice_000588.jpg,5,lps chalice,0
../datasets/original/other/other_003457.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001149.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_004880.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_003331.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_006255.jpg,2,sps acropora,0
../datasets/original/other/other_003104.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001839.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_004439.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_001001.jpg,0,sps montipora,0
../datasets/original/sps montipora/spsmontipora_001361.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_006308.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_005669.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_003029.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_004605.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_001041.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_001981.jpg,0,sps montipora,0
../datasets/original/lps chalice/lpschalice_001174.jpg,5,lps chalice,0
../datasets/original/sps montipora/spsmontipora_000939.jpg,0,sps montipora,0
../datasets/original/other/other_000058.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_000045.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_004510.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_002281.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_001917.jpg,5,lps chalice,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001607.jpg,6,lps acanthastrea,0
../datasets/original/zoa/zoa_001390.jpg,3,zoa,0
../datasets/original/other/other_000353.jpg,1,other,0
../datasets/original/zoa/zoa_000853.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_005719.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000822.jpg,6,lps acanthastrea,0
../datasets/original/lps chalice/lpschalice_001844.jpg,5,lps chalice,0
../datasets/original/lps chalice/lpschalice_001218.jpg,5,lps chalice,0
../datasets/original/other/other_001713.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_001349.jpg,5,lps chalice,0
../datasets/original/sps montipora/spsmontipora_000745.jpg,0,sps montipora,0
../datasets/original/lps euphyllia/lpseuphyllia_000565.jpg,4,lps euphyllia,0
../datasets/original/other/other_003345.jpg,1,other,0
../datasets/original/other/other_003089.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_003228.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_001721.jpg,5,lps chalice,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000610.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_006334.jpg,2,sps acropora,0
../datasets/original/other/other_001521.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_005288.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_001551.jpg,0,sps montipora,0
../datasets/original/lps chalice/lpschalice_001190.jpg,5,lps chalice,0
../datasets/original/lps euphyllia/lpseuphyllia_000142.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_002324.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_001011.jpg,5,lps chalice,0
../datasets/original/other/other_003699.jpg,1,other,0
../datasets/original/other/other_002167.jpg,1,other,0
../datasets/original/other/other_001909.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000073.jpg,6,lps acanthastrea,0
../datasets/original/other/other_001253.jpg,1,other,0
../datasets/original/other/other_002637.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_006627.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_000689.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_003193.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_000961.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_006219.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_006254.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_001665.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_002489.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000051.jpg,0,sps montipora,0
../datasets/original/other/other_000790.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_000269.jpg,0,sps montipora,0
../datasets/original/other/other_000586.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_001234.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_005447.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_001309.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_001641.jpg,2,sps acropora,0
../datasets/original/other/other_000626.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_000622.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_000615.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_006711.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001063.jpg,6,lps acanthastrea,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000126.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_006290.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000475.jpg,6,lps acanthastrea,0
../datasets/original/zoa/zoa_000278.jpg,3,zoa,0
../datasets/original/other/other_002203.jpg,1,other,0
../datasets/original/zoa/zoa_001895.jpg,3,zoa,0
../datasets/original/zoa/zoa_000555.jpg,3,zoa,0
../datasets/original/other/other_003092.jpg,1,other,0
../datasets/original/other/other_002749.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_001002.jpg,5,lps chalice,0
../datasets/original/sps montipora/spsmontipora_002059.jpg,0,sps montipora,0
../datasets/original/lps chalice/lpschalice_001623.jpg,5,lps chalice,0
../datasets/original/sps montipora/spsmontipora_001319.jpg,0,sps montipora,0
../datasets/original/other/other_000303.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000282.jpg,6,lps acanthastrea,0
../datasets/original/sps montipora/spsmontipora_000353.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_002202.jpg,2,sps acropora,0
../datasets/original/other/other_000769.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_006504.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_001090.jpg,4,lps euphyllia,0
../datasets/original/other/other_001018.jpg,1,other,0
../datasets/original/other/other_000131.jpg,1,other,0
../datasets/original/other/other_001252.jpg,1,other,0
../datasets/original/zoa/zoa_002120.jpg,3,zoa,0
../datasets/original/other/other_002823.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_002412.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_000211.jpg,5,lps chalice,0
../datasets/original/zoa/zoa_000496.jpg,3,zoa,0
../datasets/original/zoa/zoa_000818.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_005276.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000950.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_001400.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000294.jpg,6,lps acanthastrea,0
../datasets/original/zoa/zoa_001646.jpg,3,zoa,0
../datasets/original/other/other_000284.jpg,1,other,0
../datasets/original/other/other_003662.jpg,1,other,0
../datasets/original/other/other_000674.jpg,1,other,0
../datasets/original/zoa/zoa_002514.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_006419.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_001664.jpg,3,zoa,0
../datasets/original/sps montipora/spsmontipora_001816.jpg,0,sps montipora,0
../datasets/original/other/other_000740.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_000802.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_001694.jpg,5,lps chalice,0
../datasets/original/lps chalice/lpschalice_001480.jpg,5,lps chalice,0
../datasets/original/other/other_003203.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_002406.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_001910.jpg,3,zoa,0
../datasets/original/other/other_001929.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_001575.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_001047.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_001345.jpg,4,lps euphyllia,0
../datasets/original/other/other_000754.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_001007.jpg,0,sps montipora,0
../datasets/original/zoa/zoa_001665.jpg,3,zoa,0
../datasets/original/lps chalice/lpschalice_002076.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_000553.jpg,2,sps acropora,0
../datasets/original/other/other_001236.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_003484.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_004091.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_001673.jpg,0,sps montipora,0
../datasets/original/lps chalice/lpschalice_002053.jpg,5,lps chalice,0
../datasets/original/zoa/zoa_001259.jpg,3,zoa,0
../datasets/original/other/other_000299.jpg,1,other,0
../datasets/original/zoa/zoa_000488.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_002627.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_000618.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_000815.jpg,2,sps acropora,0
../datasets/original/other/other_002413.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_002050.jpg,0,sps montipora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001506.jpg,6,lps acanthastrea,0
../datasets/original/other/other_002020.jpg,1,other,0
../datasets/original/other/other_001570.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_001271.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_006694.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_002124.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_002486.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_000573.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_001201.jpg,0,sps montipora,0
../datasets/original/lps chalice/lpschalice_000597.jpg,5,lps chalice,0
../datasets/original/other/other_001881.jpg,1,other,0
../datasets/original/other/other_002076.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_000876.jpg,5,lps chalice,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000139.jpg,6,lps acanthastrea,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001485.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_002349.jpg,2,sps acropora,0
../datasets/original/other/other_000575.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_002131.jpg,0,sps montipora,0
../datasets/original/other/other_002968.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_004717.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_001056.jpg,4,lps euphyllia,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001659.jpg,6,lps acanthastrea,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001821.jpg,6,lps acanthastrea,0
../datasets/original/lps euphyllia/lpseuphyllia_001399.jpg,4,lps euphyllia,0
../datasets/original/zoa/zoa_001136.jpg,3,zoa,0
../datasets/original/other/other_003120.jpg,1,other,0
../datasets/original/other/other_000066.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_003841.jpg,2,sps acropora,0
../datasets/original/other/other_000774.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_004847.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000172.jpg,0,sps montipora,0
../datasets/original/other/other_000325.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000362.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_001542.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_000640.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_006737.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_002189.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_006513.jpg,2,sps acropora,0
../datasets/original/other/other_002130.jpg,1,other,0
../datasets/original/other/other_002040.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_005939.jpg,2,sps acropora,0
../datasets/original/other/other_001667.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_001089.jpg,2,sps acropora,0
../datasets/original/other/other_001966.jpg,1,other,0
../datasets/original/zoa/zoa_001133.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_004452.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_000832.jpg,4,lps euphyllia,0
../datasets/original/other/other_001682.jpg,1,other,0
../datasets/original/zoa/zoa_001172.jpg,3,zoa,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001413.jpg,6,lps acanthastrea,0
../datasets/original/other/other_002069.jpg,1,other,0
../datasets/original/other/other_001498.jpg,1,other,0
../datasets/original/other/other_003151.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_000761.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_001192.jpg,5,lps chalice,0
../datasets/original/sps montipora/spsmontipora_001005.jpg,0,sps montipora,0
../datasets/original/other/other_000944.jpg,1,other,0
../datasets/original/other/other_002008.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_003943.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_005915.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_004729.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_001326.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_000686.jpg,5,lps chalice,0
../datasets/original/other/other_000836.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_000684.jpg,5,lps chalice,0
../datasets/original/lps euphyllia/lpseuphyllia_001044.jpg,4,lps euphyllia,0
../datasets/original/sps montipora/spsmontipora_001193.jpg,0,sps montipora,0
../datasets/original/lps euphyllia/lpseuphyllia_000560.jpg,4,lps euphyllia,0
../datasets/original/other/other_002488.jpg,1,other,0
../datasets/original/other/other_003596.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000017.jpg,6,lps acanthastrea,0
../datasets/original/sps montipora/spsmontipora_001086.jpg,0,sps montipora,0
../datasets/original/sps montipora/spsmontipora_001698.jpg,0,sps montipora,0
../datasets/original/lps chalice/lpschalice_002115.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_001727.jpg,2,sps acropora,0
